StoreID,StoreName,Region,City,StoreType,OpeningDate
S195,Store_Market 195,Midwest,Boston,Standard,2022-10-27
S196,Store_Mall 196,Southeast,San Diego,Express,2015-06-28
S197,Store_Center 197,Midwest,Denver,Express,2022-06-11
S198,Store_Mall 198,Midwest,Los Angeles,Standard,2020-08-19
S199,Store_Hub 199,Northeast,Houston,Express,2016-02-13
S200,Store_Hub 200,Midwest,New York,Standard,2019-08-07
S201,Store_Mall 201,South,Detroit,Compact,2018-10-18
S202,Store_Hub 202,Southeast,Chicago,Compact,2022-07-25
S203,Store_Hub 203,Southeast,Boston,Express,2021-01-25
S204,Store_Plaza 204,South,San Diego,Compact,2017-07-20
S205,Store_Plaza 205,Southeast,Houston,Flagship,2019-12-23
S206,Store_Mall 206,Central,New York,Flagship,2018-08-21
S207,Store_Plaza 207,Central,Seattle,Compact,2019-10-31
S208,Store_Mall 208,West,Portland,Express,2021-05-07
S209,Store_Mall 209,East,Philadelphia,Flagship,2021-11-01
S210,Store_Market 210,West,Detroit,Superstore,2016-08-09
S211,Store_Mall 211,Midwest,Dallas,Express,2017-11-11
S212,Store_Plaza 212,Midwest,Austin,Superstore,2016-10-09
S213,Store_Plaza 213,Midwest,Seattle,Superstore,2018-05-10
S214,Store_Market 214,Central,Atlanta,Compact,2017-03-26
S215,Store_Market 215,Midwest,Houston,Standard,2019-04-12
S216,Store_Hub 216,Northeast,Austin,Compact,2015-03-31
S217,Store_Market 217,Central,New York,Superstore,2022-09-10
S218,Store_Plaza 218,Midwest,Austin,Standard,2021-10-22
S219,Store_Center 219,West,San Antonio,Superstore,2017-10-23
S220,Store_Mall 220,South,Los Angeles,Compact,2019-12-11
S221,Store_Plaza 221,Northeast,Phoenix,Flagship,2018-04-23
S222,Store_Center 222,Southeast,Philadelphia,Standard,2016-06-25
S223,Store_Hub 223,Northeast,Portland,Superstore,2018-01-21
S224,Store_Mall 224,Central,Detroit,Compact,2018-10-19
S225,Store_Plaza 225,Midwest,Chicago,Standard,2017-07-13
S226,Store_Market 226,Northeast,Chicago,Express,2015-02-27
S227,Store_Center 227,South,Atlanta,Compact,2022-07-18
S228,Store_Center 228,Southeast,Seattle,Flagship,2022-07-27
S229,Store_Mall 229,Midwest,New York,Superstore,2021-04-18
S230,Store_Center 230,West,Chicago,Express,2022-11-11
S231,Store_Center 231,Southeast,Houston,Standard,2015-07-05
S232,Store_Plaza 232,Central,Detroit,Flagship,2016-02-03
S233,Store_Mall 233,East,Denver,Express,2019-02-28
S234,Store_Hub 234,Southeast,Phoenix,Express,2022-05-06
S235,Store_Plaza 235,Midwest,Miami,Compact,2015-05-15
S236,Store_Center 236,West,Atlanta,Express,2017-08-25
S237,Store_Center 237,South,Seattle,Superstore,2022-03-26
S238,Store_Center 238,North,Denver,Compact,2017-02-16
S239,Store_Plaza 239,Midwest,Chicago,Standard,2022-03-13
S240,Store_Hub 240,North,Los Angeles,Compact,2017-09-24
S241,Store_Mall 241,West,Chicago,Superstore,2017-04-28
S242,Store_Hub 242,West,San Diego,Compact,2016-08-27
S243,Store_Hub 243,North,Dallas,Standard,2016-06-16
S244,Store_Hub 244,Central,Philadelphia,Flagship,2022-05-31
S245,Store_Plaza 245,East,New York,Compact,2017-09-01
S246,Store_Hub 246,Northeast,New York,Standard,2017-12-22
S247,Store_Plaza 247,East,Miami,Superstore,2016-04-10
S248,Store_Plaza 248,Midwest,Atlanta,Compact,2020-10-03
S249,Store_Hub 249,South,Atlanta,Superstore,2017-06-26
S250,Store_Hub 250,North,Portland,Compact,2020-02-20
S251,Store_Plaza 251,North,Detroit,Express,2019-10-13
S252,Store_Plaza 252,Midwest,Atlanta,Flagship,2015-11-27
S253,Store_Center 253,East,Chicago,Standard,2018-01-31
S254,Store_Hub 254,Northeast,Denver,Superstore,2020-12-13
S255,Store_Center 255,Midwest,Portland,Superstore,2019-10-29
S256,Store_Plaza 256,South,Las Vegas,Standard,2019-10-28
S257,Store_Market 257,West,Miami,Compact,2020-02-01
S258,Store_Market 258,Southeast,Houston,Compact,2019-10-15
S259,Store_Center 259,Central,Seattle,Standard,2022-09-14
S260,Store_Market 260,South,Chicago,Flagship,2016-01-17
S261,Store_Market 261,South,Seattle,Standard,2021-03-28
S262,Store_Plaza 262,Northeast,Houston,Express,2018-12-19
S263,Store_Market 263,North,Austin,Superstore,2018-07-03
S264,Store_Center 264,South,Portland,Standard,2016-09-25
S265,Store_Market 265,West,Houston,Compact,2021-03-28
S266,Store_Center 266,South,Dallas,Superstore,2017-07-15
S267,Store_Market 267,North,Dallas,Flagship,2017-01-08
S268,Store_Center 268,Central,Boston,Compact,2015-01-26
S269,Store_Mall 269,East,Denver,Flagship,2016-08-04
S270,Store_Plaza 270,South,Portland,Standard,2019-03-21
S271,Store_Market 271,Midwest,Boston,Standard,2019-02-24
S272,Store_Center 272,Northeast,Chicago,Flagship,2016-09-29
S273,Store_Mall 273,North,Chicago,Compact,2019-12-20
S274,Store_Market 274,Midwest,Atlanta,Express,2018-01-23
S275,Store_Mall 275,South,Seattle,Express,2016-03-30
S276,Store_Center 276,Midwest,Portland,Compact,2015-07-06
S277,Store_Mall 277,Southeast,Los Angeles,Flagship,2017-04-17
S278,Store_Center 278,West,Phoenix,Compact,2018-03-31
S279,Store_Center 279,South,New York,Express,2019-10-30
S280,Store_Mall 280,East,Denver,Superstore,2022-11-22
S281,Store_Mall 281,Northeast,Chicago,Express,2015-06-23
S282,Store_Market 282,North,Atlanta,Flagship,2018-07-06
S283,Store_Hub 283,Southeast,Denver,Express,2018-03-31
S284,Store_Plaza 284,Southeast,New York,Compact,2016-12-04
S285,Store_Hub 285,Midwest,Seattle,Flagship,2019-11-24
S286,Store_Plaza 286,West,Miami,Superstore,2019-06-29
S287,Store_Hub 287,South,Denver,Compact,2018-10-22
S288,Store_Mall 288,Northeast,Philadelphia,Flagship,2020-09-21
S289,Store_Plaza 289,West,Seattle,Compact,2023-02-27
S290,Store_Mall 290,West,Houston,Standard,2017-11-14
S291,Store_Mall 291,East,Phoenix,Flagship,2016-12-26
S292,Store_Market 292,Midwest,Atlanta,Superstore,2022-03-18
S293,Store_Hub 293,Northeast,Boston,Standard,2019-12-07
S294,Store_Plaza 294,Midwest,Atlanta,Compact,2018-01-30
S295,Store_Hub 295,North,Seattle,Superstore,2015-10-31
S296,Store_Center 296,Midwest,Atlanta,Flagship,2015-08-22
S297,Store_Center 297,Central,Chicago,Flagship,2021-11-24
S298,Store_Hub 298,Southeast,Atlanta,Superstore,2021-03-20
S299,Store_Plaza 299,Midwest,San Antonio,Compact,2021-10-14
S300,Store_Market 300,East,Los Angeles,Express,2016-02-28
S301,Store_Center 301,South,Portland,Standard,2015-06-10
S302,Store_Mall 302,Midwest,Atlanta,Superstore,2020-11-11
S303,Store_Hub 303,East,Seattle,Compact,2018-03-04
S304,Store_Market 304,Southeast,Boston,Superstore,2015-08-03
S305,Store_Center 305,South,Boston,Flagship,2021-04-04
S306,Store_Market 306,Central,Dallas,Superstore,2016-09-07
S307,Store_Center 307,South,Phoenix,Compact,2018-06-24
S308,Store_Market 308,East,Chicago,Compact,2021-04-08
S309,Store_Market 309,Northeast,Phoenix,Superstore,2016-01-18
S310,Store_Market 310,Northeast,New York,Compact,2018-06-19
S311,Store_Mall 311,West,Boston,Express,2017-02-25
S312,Store_Mall 312,East,Phoenix,Flagship,2018-04-26
S313,Store_Plaza 313,North,Boston,Superstore,2016-06-20
S314,Store_Hub 314,Southeast,Phoenix,Standard,2017-01-10
S315,Store_Hub 315,East,Atlanta,Flagship,2019-08-10
S316,Store_Center 316,West,Atlanta,Superstore,2018-03-13
S317,Store_Market 317,West,Las Vegas,Standard,2018-06-21
S318,Store_Market 318,West,Seattle,Superstore,2019-12-10
S319,Store_Market 319,Central,Denver,Superstore,2020-11-30
S320,Store_Market 320,East,San Antonio,Superstore,2016-07-20
S321,Store_Center 321,North,Detroit,Compact,2021-03-21
S322,Store_Plaza 322,South,Austin,Flagship,2016-10-18
S323,Store_Center 323,Midwest,Portland,Standard,2019-11-27
S324,Store_Plaza 324,West,Atlanta,Compact,2015-04-20
S325,Store_Market 325,North,Denver,Superstore,2019-03-12
S326,Store_Mall 326,Southeast,Chicago,Compact,2017-07-08
S327,Store_Plaza 327,Northeast,Houston,Compact,2016-08-21
S328,Store_Mall 328,North,Austin,Express,2022-10-22
S329,Store_Mall 329,Midwest,Atlanta,Superstore,2015-01-22
S330,Store_Plaza 330,North,Dallas,Standard,2016-09-04
S331,Store_Hub 331,Southeast,Houston,Compact,2017-08-31
S332,Store_Center 332,South,Los Angeles,Standard,2019-09-16
S333,Store_Hub 333,Midwest,Chicago,Flagship,2020-08-09
S334,Store_Hub 334,North,Portland,Superstore,2017-09-17
S335,Store_Mall 335,Central,Miami,Flagship,2021-11-23
S336,Store_Center 336,West,Miami,Standard,2022-06-14
S337,Store_Plaza 337,Northeast,Chicago,Superstore,2021-02-06
S338,Store_Hub 338,North,Denver,Express,2015-06-28
S339,Store_Market 339,Northeast,Dallas,Flagship,2019-01-02
S340,Store_Plaza 340,Northeast,San Diego,Flagship,2021-07-11
S341,Store_Center 341,East,Los Angeles,Compact,2021-02-14
S342,Store_Center 342,East,Atlanta,Express,2022-01-31
S343,Store_Mall 343,East,Chicago,Express,2015-06-01
S344,Store_Center 344,West,Los Angeles,Standard,2015-06-21
S345,Store_Center 345,Central,Portland,Express,2021-02-02
S346,Store_Market 346,Central,Los Angeles,Standard,2018-03-17
S347,Store_Center 347,North,Boston,Compact,2016-05-24
S348,Store_Center 348,Southeast,Denver,Express,2019-05-03
S349,Store_Center 349,East,Detroit,Express,2019-02-13
S350,Store_Hub 350,Central,Chicago,Express,2015-11-20
S351,Store_Market 351,East,Las Vegas,Compact,2018-08-08
S352,Store_Plaza 352,South,Boston,Compact,2018-06-09
S353,Store_Market 353,Southeast,Philadelphia,Express,2018-12-10
S354,Store_Market 354,North,Seattle,Superstore,2019-11-17
S355,Store_Center 355,North,Chicago,Express,2019-01-28
S356,Store_Hub 356,East,New York,Standard,2021-10-24
S357,Store_Market 357,North,Phoenix,Flagship,2017-08-24
S358,Store_Center 358,Northeast,Denver,Superstore,2015-05-13
S359,Store_Hub 359,East,Atlanta,Compact,2019-03-04
S360,Store_Market 360,South,Phoenix,Superstore,2019-02-12
S361,Store_Market 361,Northeast,Dallas,Standard,2016-04-09
S362,Store_Plaza 362,East,Detroit,Superstore,2019-05-05
S363,Store_Hub 363,South,Dallas,Compact,2022-11-23
S364,Store_Market 364,West,Austin,Express,2017-03-30
S365,Store_Plaza 365,East,Chicago,Express,2016-12-08
S366,Store_Market 366,South,Boston,Compact,2022-12-16
S367,Store_Plaza 367,Central,Austin,Standard,2022-12-25
S368,Store_Mall 368,Northeast,Portland,Standard,2016-05-12
S369,Store_Mall 369,East,San Diego,Express,2015-04-18
S370,Store_Center 370,Northeast,Atlanta,Superstore,2016-06-15
S371,Store_Hub 371,South,Chicago,Compact,2019-06-19
S372,Store_Market 372,Southeast,Miami,Superstore,2015-10-30
S373,Store_Mall 373,Northeast,Chicago,Express,2020-03-23
S374,Store_Hub 374,Northeast,Phoenix,Superstore,2022-03-05
S375,Store_Hub 375,East,Phoenix,Express,2020-08-21
S376,Store_Plaza 376,South,Portland,Standard,2018-05-30
S377,Store_Mall 377,East,Boston,Standard,2018-11-18
S378,Store_Hub 378,Central,Chicago,Compact,2017-03-15
S379,Store_Hub 379,Central,Phoenix,Compact,2021-11-21
S380,Store_Hub 380,South,Portland,Standard,2021-08-21
S381,Store_Hub 381,East,Philadelphia,Superstore,2023-01-30
S382,Store_Hub 382,Northeast,Los Angeles,Flagship,2015-11-29
S383,Store_Plaza 383,Central,San Antonio,Superstore,2019-09-03
S384,Store_Hub 384,North,Detroit,Superstore,2018-04-01
S385,Store_Center 385,Midwest,San Diego,Express,2018-05-03
S386,Store_Market 386,South,Los Angeles,Standard,2019-12-06
S387,Store_Market 387,Midwest,Atlanta,Standard,2018-10-25
S388,Store_Hub 388,East,Boston,Compact,2018-11-15
S389,Store_Market 389,East,Seattle,Superstore,2021-04-19
S390,Store_Plaza 390,Northeast,San Diego,Express,2016-05-16
S391,Store_Center 391,Midwest,San Diego,Standard,2016-02-01
S392,Store_Plaza 392,Central,Denver,Superstore,2019-09-09
S393,Store_Mall 393,East,Boston,Superstore,2023-02-01
S394,Store_Center 394,West,Philadelphia,Express,2020-10-09
S395,Store_Market 395,Midwest,Austin,Express,2015-04-05
S396,Store_Plaza 396,Southeast,Portland,Express,2017-09-13
S397,Store_Mall 397,Northeast,Los Angeles,Flagship,2018-02-26
S398,Store_Market 398,Midwest,Austin,Superstore,2015-02-03
S399,Store_Plaza 399,Southeast,Phoenix,Compact,2023-02-27
S400,Store_Center 400,Southeast,Seattle,Flagship,2019-06-29
S401,Store_Plaza 401,West,Seattle,Superstore,2018-03-28
S402,Store_Plaza 402,Southeast,Portland,Express,2021-03-02
S403,Store_Center 403,South,Phoenix,Flagship,2019-06-02
S404,Store_Center 404,Northeast,Las Vegas,Compact,2016-08-13
S405,Store_Mall 405,Southeast,Portland,Flagship,2015-07-05
S406,Store_Plaza 406,East,Boston,Express,2020-10-28
S407,Store_Market 407,East,Portland,Standard,2018-09-05
S408,Store_Hub 408,Northeast,Philadelphia,Express,2021-11-30
S409,Store_Center 409,Northeast,Portland,Superstore,2020-12-20
S410,Store_Market 410,Central,Detroit,Flagship,2019-02-17
S411,Store_Center 411,South,Miami,Superstore,2018-06-14
S412,Store_Plaza 412,Midwest,Dallas,Superstore,2021-06-23
S413,Store_Mall 413,North,Detroit,Standard,2020-11-17
S414,Store_Hub 414,Southeast,Phoenix,Standard,2015-05-10
S415,Store_Hub 415,South,San Antonio,Flagship,2019-12-12
S416,Store_Center 416,Southeast,Phoenix,Express,2022-09-29
S417,Store_Mall 417,Southeast,Portland,Superstore,2020-04-15
S418,Store_Plaza 418,East,Portland,Standard,2021-04-16
S419,Store_Center 419,Midwest,Portland,Express,2018-07-09
S420,Store_Mall 420,Midwest,Las Vegas,Compact,2021-02-15
S421,Store_Center 421,Central,Detroit,Standard,2017-10-06
S422,Store_Center 422,Central,San Diego,Compact,2018-03-29
S423,Store_Mall 423,Midwest,Boston,Express,2018-11-29
S424,Store_Hub 424,Central,Austin,Flagship,2021-06-06
S425,Store_Hub 425,Southeast,Denver,Compact,2016-08-22
S426,Store_Center 426,North,Austin,Flagship,2018-11-19
S427,Store_Market 427,Central,Detroit,Standard,2017-04-07
S428,Store_Hub 428,Central,Las Vegas,Compact,2016-07-16
S429,Store_Plaza 429,West,San Diego,Flagship,2022-07-06
S430,Store_Hub 430,West,San Diego,Flagship,2016-02-15
S431,Store_Market 431,Northeast,Detroit,Flagship,2022-08-22
S432,Store_Mall 432,North,Las Vegas,Standard,2019-07-25
S433,Store_Market 433,Midwest,San Antonio,Compact,2018-08-08
S434,Store_Center 434,North,Chicago,Superstore,2017-08-09
S435,Store_Hub 435,North,Philadelphia,Express,2016-12-21
S436,Store_Plaza 436,Southeast,Detroit,Standard,2018-03-31
S437,Store_Plaza 437,North,Austin,Superstore,2021-10-04
S438,Store_Plaza 438,Northeast,Austin,Express,2022-03-11
S439,Store_Hub 439,Midwest,Phoenix,Superstore,2020-04-01
S440,Store_Center 440,West,Houston,Compact,2016-10-27
S441,Store_Market 441,Central,Philadelphia,Flagship,2018-10-12
S442,Store_Center 442,West,Philadelphia,Superstore,2022-03-01
S443,Store_Market 443,Southeast,Portland,Compact,2015-12-22
S444,Store_Market 444,South,Philadelphia,Standard,2020-05-09
S445,Store_Center 445,West,New York,Compact,2019-04-21
S446,Store_Mall 446,Midwest,Dallas,Compact,2018-05-21
